Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"IRS-2014-0030-0004","IRS","IRS-2014-0030",,"Rule",2024-12-02T05:00Z,false,"2024-27840",,"Recourse Partnership Liabilities and Related Party Rules",2024-12-02T05:00Z,,false,,,,,2024-12-02T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"95108 - 95116",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2014-0030-0004/content.pdf,https://downloads.regulations.gov/IRS-2014-0030-0004/content.htm",,
"IRS-2016-0007-0010","IRS","IRS-2016-0007",,"Rule",2024-03-27T04:00Z,false,"2024-06485",,"Requirements for Type I and Type III Supporting Organizations; Correction",2024-03-27T04:00Z,,false,,,,,2024-03-27T04:00Z,,,,"26 CFR Parts 1 and 53",,,,"Correction",,,,,,,,,,,,,"21211 - 21211",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0007-0010/content.pdf,https://downloads.regulations.gov/IRS-2016-0007-0010/content.htm",,
"IRS-2016-0010-0035","IRS","IRS-2016-0010",,"Rule",2024-09-17T04:00Z,false,"2024-20429",,"Consistent Basis Reporting Between Estate and Person Acquiring Property from Decedent",2024-09-17T04:00Z,,false,,,,,2024-09-17T04:00Z,,,,"26 CFR Parts 1 and 301",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"76356 - 76387",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0010-0035/content.pdf,https://downloads.regulations.gov/IRS-2016-0010-0035/content.htm",,
"IRS-2016-0044-0011","IRS","IRS-2016-0044",,"Rule",2024-01-19T05:00Z,false,"2024-00978",,"Update to Minimum Present Value Requirements for Defined Benefit Plan Distributions",2024-01-19T05:00Z,,false,,,,,2024-01-19T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"3552 - 3562",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0044-0011/content.pdf,https://downloads.regulations.gov/IRS-2016-0044-0011/content.htm",,
"IRS-2018-0027-0010","IRS","IRS-2018-0027",,"Rule",2024-03-22T04:00Z,false,"2024-05744",,"De Minimis Error Safe Harbor Exceptions to Penalties for Failure to File Correct Information Returns or Furnish Correct Payee Statements; Correction",2024-03-22T04:00Z,,false,,,,,2024-03-22T04:00Z,,,,"26 CFR Part 301",,,,"Correction",,,,,"Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Income Taxes,Penalties,Reporting and Recordkeeping Requirements",,,,,,,,"20317 - 20317",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0027-0010/content.pdf,https://downloads.regulations.gov/IRS-2018-0027-0010/content.htm",,
"IRS-2018-0027-0011","IRS","IRS-2018-0027",,"Rule",2024-03-22T04:00Z,false,"2024-05639",,"De Minimis Error Safe Harbor Exceptions to Penalties for Failure to File Correct Information Returns or Furnish Correct Payee Statements; Correction",2024-03-22T04:00Z,,false,,,,,2024-03-22T04:00Z,,,,"26 CFR Part 301",,,,"Correction",,,,,,,,,,,,,"20317 - 20318",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0027-0011/content.pdf,https://downloads.regulations.gov/IRS-2018-0027-0011/content.htm",,
"IRS-2019-0006-0007","IRS","IRS-2019-0006",,"Rule",2024-12-30T05:00Z,false,"2024-30267",,"Reissuance of State or Local Bonds",2024-12-30T05:00Z,,false,,,,,2024-12-30T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"106315 - 106320",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0006-0007/content.pdf,https://downloads.regulations.gov/IRS-2019-0006-0007/content.htm",,
"IRS-2019-0025-0003","IRS","IRS-2019-0025",,"Rule",2024-10-21T04:00Z,false,"2024-24224",,"Withholding on Certain Distributions",2024-10-21T04:00Z,,false,,,,,2024-10-21T04:00Z,,,,"26 CFR Part 31",,,,"Final Rule",,,,,"Employment Taxes,Income Taxes,Penalties,Pensions,Railroad Retirement,Reporting and Recordkeeping Requirements,Social Security,Unemployment Compensation",,,,,,,,"84079 - 84083",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0025-0003/content.pdf,https://downloads.regulations.gov/IRS-2019-0025-0003/content.htm",,
"IRS-2020-0030-0021","IRS","IRS-2020-0030",,"Rule",2024-06-14T04:00Z,false,"2024-12374",,"Guidance Under Section 1061; Correction",2024-06-14T04:00Z,,false,,,,,2024-06-14T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"50524 - 50526",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0030-0021/content.pdf,https://downloads.regulations.gov/IRS-2020-0030-0021/content.htm",,
"IRS-2022-0003-0166","IRS","IRS-2022-0003",,"Rule",2024-07-19T04:00Z,false,"2024-14542",,"Required Minimum Distributions",2024-07-19T04:00Z,,false,,,,,2024-07-19T04:00Z,,,,"26 CFR Parts 1, 31, and 54",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Fishing Vessels,Gambling,Penalties,Pensions,Railroad Retirement,Social Security,Unemployment Compensation,Excise Taxes,Health Care",,,,,,,,"58886 - 58954",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0003-0166/content.pdf,https://downloads.regulations.gov/IRS-2022-0003-0166/content.htm",,
