Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"IRS-2008-0041-0003","IRS","IRS-2008-0041",,"Rule",2020-06-11T04:00Z,false,"2020-11111",,"Special Rules To Reduce Section 1446 Withholding; Correcting Amendment",2020-06-11T04:00Z,,false,,,,,2020-06-11T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"35557 - 35558",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2008-0041-0003/content.pdf,https://downloads.regulations.gov/IRS-2008-0041-0003/content.htm",,
"IRS-2008-0092-0007","IRS","IRS-2008-0092",,"Rule",2020-08-20T04:00Z,false,"2020-16354",,"Certain Outbound Property Transfers by Domestic Corporations: Certain Stock Distributions by Domestic Corporations; Correcting Amendment",2020-08-20T04:00Z,,false,,,,,2020-08-20T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"51346 - 51347",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2008-0092-0007/content.pdf,https://downloads.regulations.gov/IRS-2008-0092-0007/content.htm",,
"IRS-2011-0044-0034","IRS","IRS-2011-0044",,"Rule",2020-03-20T04:00Z,false,"2020-05997",,"Regulations Enabling Elections for Certain Transactions Under Section 336(e); CFR Correction",2020-03-20T04:00Z,,false,,,,,2020-03-20T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"15949 - 15949",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2011-0044-0034/content.pdf,https://downloads.regulations.gov/IRS-2011-0044-0034/content.htm",,
"IRS-2011-0050-0006","IRS","IRS-2011-0050",,"Rule",2020-03-09T04:00Z,false,"2020-04485",,"Use of Differential Income Stream as an Application of the Income Method and as a Consideration in Assessing the Best Method; Correcting Amendment",2020-03-09T04:00Z,,false,,,,,2020-03-09T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"13483 - 13483",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2011-0050-0006/content.pdf,https://downloads.regulations.gov/IRS-2011-0050-0006/content.htm",,
"IRS-2014-0001-0014","IRS","IRS-2014-0001",,"Rule",2020-05-06T04:00Z,false,"2020-08113",,"Definitions and Reporting Requirements for Shareholders of Passive Foreign Investment Companies; Correcting Amendment",2020-05-06T04:00Z,,false,,,,,2020-05-06T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"26848 - 26848",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2014-0001-0014/content.pdf,https://downloads.regulations.gov/IRS-2014-0001-0014/content.htm",,
"IRS-2015-0030-0227","IRS","IRS-2015-0030",,"Rule",2020-11-19T05:00Z,false,"2020-22144",,"Guidance under Section 529A: Qualified Achieving a Better Life Experience Programs",2020-11-19T05:00Z,,false,,,,,2020-11-19T05:00Z,,,,"26 CFR Parts 1, 25, 26, 301, and 602",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Excise Taxes,Penalties,Gift Taxes,Estate Taxes",,,,,,,,"74010 - 74047",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2015-0030-0227/content.pdf,https://downloads.regulations.gov/IRS-2015-0030-0227/content.htm",,
"IRS-2016-0038-0007","IRS","IRS-2016-0038",,"Rule",2020-03-13T04:00Z,false,"2020-05115",,"User Fees for Offers in Compromise",2020-03-13T04:00Z,,false,,,,,2020-03-13T04:00Z,,,,"26 CFR Part 300",,,,"Final Rule",,,,,"Reporting and Recordkeeping Requirements,User Fees",,,,,,,,"14567 - 14572",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0038-0007/content.pdf,https://downloads.regulations.gov/IRS-2016-0038-0007/content.htm",,
"IRS-2016-0040-0003","IRS","IRS-2016-0040",,"Rule",2020-05-14T04:00Z,false,"2020-08096",,"The Treatment of Certain Interests in Corporations as Stock or Indebtedness",2020-05-14T04:00Z,,false,,,,,2020-05-14T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"28867 - 28883",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0040-0003/content.pdf,https://downloads.regulations.gov/IRS-2016-0040-0003/content.htm",,
"IRS-2016-0047-0004","IRS","IRS-2016-0047",,"Rule",2020-03-23T04:00Z,false,"2020-05551",,"Covered Asset Acquisitions",2020-03-23T04:00Z,,false,,,,,2020-03-23T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"16245 - 16267",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0047-0004/content.pdf,https://downloads.regulations.gov/IRS-2016-0047-0004/content.htm",,
"IRS-2016-0053-0005","IRS","IRS-2016-0053",,"Rule",2020-03-17T04:00Z,false,"2020-05041",,"Guidance Under Section 355(e) Regarding Predecessors, Successors, and Limitation on Gain Recognition; Guidance Under Section 355(f); Correction",2020-03-17T04:00Z,,false,,,,,2020-03-17T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"15061 - 15061",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0053-0005/content.pdf,https://downloads.regulations.gov/IRS-2016-0053-0005/content.htm",,
"IRS-2016-0053-0006","IRS","IRS-2016-0053",,"Rule",2020-03-17T04:00Z,false,"2020-05040",,"Guidance Under Section 355(e) Regarding Predecessors, Successors, and Limitation on Gain Recognition; Guidance Under Section 355(f); Correcting Amendment",2020-03-17T04:00Z,,false,,,,,2020-03-17T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"15060 - 15061",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0053-0006/content.pdf,https://downloads.regulations.gov/IRS-2016-0053-0006/content.htm",,
"IRS-2016-0054-0015","IRS","IRS-2016-0054",,"Rule",2020-09-04T04:00Z,false,"2020-16955",,"Nuclear Decommissioning Funds",2020-09-04T04:00Z,,false,,,,,2020-09-04T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"55185 - 55190",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0054-0015/content.pdf,https://downloads.regulations.gov/IRS-2016-0054-0015/content.htm",,
"IRS-2017-0002-0013","IRS","IRS-2017-0002",,"Rule",2020-01-02T05:00Z,false,"2019-27979",,"Regulations Relating to Withholding and Reporting Tax on Certain U.S. Source Income Paid to Foreign Persons",2020-01-02T05:00Z,,false,,,,,2020-01-02T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"192 - 206",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0002-0013/content.pdf,https://downloads.regulations.gov/IRS-2017-0002-0013/content.htm",,
"IRS-2017-0002-0014","IRS","IRS-2017-0002",,"Rule",2020-03-06T05:00Z,false,"2020-04113",,"Regulations Relating to Withholding and Reporting Tax on Certain U.S. Source Income Paid to Foreign Persons; Correcting Amendment",2020-03-06T05:00Z,,false,,,,,2020-03-06T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"13045 - 13045",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0002-0014/content.pdf,https://downloads.regulations.gov/IRS-2017-0002-0014/content.htm",,
"IRS-2017-0005-0005","IRS","IRS-2017-0005",,"Rule",2020-01-23T05:00Z,false,"2020-00383",,"Transfers of Certain Property by U.S. Persons to Partnerships with Related Foreign Partners",2020-01-23T05:00Z,,false,,,,,2020-01-23T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"3833 - 3852",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0005-0005/content.pdf,https://downloads.regulations.gov/IRS-2017-0005-0005/content.htm",,
"IRS-2017-0005-0006","IRS","IRS-2017-0005",,"Rule",2020-02-18T05:00Z,false,"2020-02653",,"Transfers of Certain Property by U.S. Persons to Partnerships With Related Foreign Partners; Correction",2020-02-18T05:00Z,,false,,,,,2020-02-18T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"8726 - 8726",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0005-0006/content.pdf,https://downloads.regulations.gov/IRS-2017-0005-0006/content.htm",,
"IRS-2017-0005-0007","IRS","IRS-2017-0005",,"Rule",2020-02-18T05:00Z,false,"2020-02654",,"Transfers of Certain Property by U.S. Persons to Partnerships With Related Foreign Partners; Correction",2020-02-18T05:00Z,,false,,,,,2020-02-18T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"8725 - 8726",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0005-0007/content.pdf,https://downloads.regulations.gov/IRS-2017-0005-0007/content.htm",,
"IRS-2017-0010-0003","IRS","IRS-2017-0010",,"Rule",2020-01-30T05:00Z,false,"2020-00467",,"Return Due Date and Extended Due Date Changes",2020-01-30T05:00Z,,false,,,,,2020-01-30T05:00Z,,,,"26 CFR Parts 1 and 31",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Penalties,Pensions,Railroad Retirement,Social Security,Unemployment Compensation",,,,,,,,"5323 - 5327",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0010-0003/content.pdf,https://downloads.regulations.gov/IRS-2017-0010-0003/content.htm",,
"IRS-2018-0037-0020","IRS","IRS-2018-0037",,"Rule",2020-02-06T05:00Z,false,"2020-01392",,"Estate and Gift Taxes; Difference in the Basic Exclusion Amount: Correcting Amendment",2020-02-06T05:00Z,,false,,,,,2020-02-06T05:00Z,,,,"26 CFR Part 25",,,,"Correction",,,,,"Gift Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"6803 - 6803",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0037-0020/content.pdf,https://downloads.regulations.gov/IRS-2018-0037-0020/content.htm",,
"IRS-2018-0040-0051","IRS","IRS-2018-0040",,"Rule",2020-05-15T04:00Z,false,"2020-08995",,"Foreign Tax Credit Guidance Related to the Tax Cuts and Jobs Act, Overall Foreign Loss Recapture, and Foreign Tax Redeterminations; Correcting Amendment",2020-05-15T04:00Z,,false,,,,,2020-05-15T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"29323 - 29323",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0040-0051/content.pdf,https://downloads.regulations.gov/IRS-2018-0040-0051/content.htm",,
"IRS-2019-0003-0004","IRS","IRS-2019-0003",,"Rule",2020-11-06T05:00Z,false,"2020-21165",,"Gain or Loss of Foreign Persons from Sale or Exchange of Certain Partnership Interests",2020-11-06T05:00Z,,false,,,,,2020-11-06T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"70958 - 70972",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0003-0004/content.pdf,https://downloads.regulations.gov/IRS-2019-0003-0004/content.htm",,
"IRS-2019-0004-0125","IRS","IRS-2019-0004",,"Rule",2020-09-14T04:00Z,false,"2020-16531",,"Limitation on Deduction for Business Interest Expense",2020-09-14T04:00Z,,false,,,,,2020-09-14T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"56686 - 56845",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0004-0125/content.pdf,https://downloads.regulations.gov/IRS-2019-0004-0125/content.htm",,
"IRS-2019-0005-0013","IRS","IRS-2019-0005",,"Rule",2020-04-08T04:00Z,false,"2020-05924",,"Rules Regarding Certain Hybrid Arrangements",2020-04-08T04:00Z,,false,,,,,2020-04-08T04:00Z,,,,"26 CFR Parts 1 and 301",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Penalties",,,,,,,,"19802 - 19857",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0005-0013/content.pdf,https://downloads.regulations.gov/IRS-2019-0005-0013/content.htm",,
"IRS-2019-0005-0014","IRS","IRS-2019-0005",,"Rule",2020-08-04T04:00Z,false,"2020-15940",,"Certain Hybrid Arrangements; Correction",2020-08-04T04:00Z,,false,,,,,2020-08-04T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"47027 - 47027",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0005-0014/content.pdf,https://downloads.regulations.gov/IRS-2019-0005-0014/content.htm",,
"IRS-2019-0009-0020","IRS","IRS-2019-0009",,"Rule",2020-06-25T04:00Z,false,"2020-11832",,"Qualified Business Income Deduction",2020-06-25T04:00Z,,false,,,,,2020-06-25T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"38060 - 38068",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0009-0020/content.pdf,https://downloads.regulations.gov/IRS-2019-0009-0020/content.htm",,
"IRS-2019-0012-0052","IRS","IRS-2019-0012",,"Rule",2020-07-15T04:00Z,false,"2020-14649",,"Deduction for Foreign-Derived Intangible Income and Global Intangible Low-Taxed Income",2020-07-15T04:00Z,,false,,,,,2020-07-15T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"43042 - 43117",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0012-0052/content.pdf,https://downloads.regulations.gov/IRS-2019-0012-0052/content.htm",,
"IRS-2019-0012-0053","IRS","IRS-2019-0012",,"Rule",2020-09-29T04:00Z,false,"2020-19333",,"Deduction for Foreign-Derived Intangible Income and Global Intangible Low-Taxed Income; Correcting Amendment",2020-09-29T04:00Z,,false,,,,,2020-09-29T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"60909 - 60910",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0012-0053/content.pdf,https://downloads.regulations.gov/IRS-2019-0012-0053/content.htm",,
"IRS-2019-0012-0055","IRS","IRS-2019-0012",,"Rule",2020-10-28T04:00Z,false,"2020-21175",,"Deduction for Foreign-Derived Intangible Income and Global Intangible Low-Taxed Income: Correcting Amendments",2020-10-28T04:00Z,,false,,,,,2020-10-28T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"68249 - 68250",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0012-0055/content.pdf,https://downloads.regulations.gov/IRS-2019-0012-0055/content.htm",,
"IRS-2019-0012-0056","IRS","IRS-2019-0012",,"Rule",2020-11-03T05:00Z,false,"2020-22996",,"Deduction for Foreign-Derived Intangible Income and Global Intangible Low-Taxed Income; Correction",2020-11-03T05:00Z,,false,,,,,2020-11-03T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"69500 - 69501",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0012-0056/content.pdf,https://downloads.regulations.gov/IRS-2019-0012-0056/content.htm",,
"IRS-2019-0022-0142","IRS","IRS-2019-0022",,"Rule",2020-01-13T05:00Z,false,"2019-27846",,"Investing in Qualified Opportunity Funds",2020-01-13T05:00Z,,false,,,,,2020-01-13T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"1866 - 2001",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0022-0142/content.pdf,https://downloads.regulations.gov/IRS-2019-0022-0142/content.htm",,
"IRS-2019-0022-0144","IRS","IRS-2019-0022",,"Rule",2020-04-06T04:00Z,false,"2020-07013",,"Investing in Qualified Opportunity Funds; Correcting Amendments",2020-04-06T04:00Z,,false,,,,,2020-04-06T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"19082 - 19087",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0022-0144/content.pdf,https://downloads.regulations.gov/IRS-2019-0022-0144/content.htm",,
"IRS-2019-0023-0027","IRS","IRS-2019-0023",,"Rule",2020-11-30T05:00Z,false,"2020-22619",,"Withholding of Tax and Information Reporting With Respect to Interests in Partnerships Engaged in a United States Trade or Business",2020-11-30T05:00Z,,false,,,,,2020-11-30T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"76910 - 76947",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0023-0027/content.pdf,https://downloads.regulations.gov/IRS-2019-0023-0027/content.htm",,
"IRS-2019-0027-0022","IRS","IRS-2019-0027",,"Rule",2020-08-27T04:00Z,false,"2020-18543",,"Limitation on Deduction for Dividends Received from Certain Foreign Corporations and Amounts Eligible for Section 954 Look-Through Exception",2020-08-27T04:00Z,,false,,,,,2020-08-27T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"53068 - 53097",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0027-0022/content.pdf,https://downloads.regulations.gov/IRS-2019-0027-0022/content.htm",,
"IRS-2019-0027-0023","IRS","IRS-2019-0027",,"Rule",2020-09-25T04:00Z,false,"C1-2020-18543",,"Limitation on Deduction for Dividends Received From Certain Foreign Corporations and Amounts Eligible for Section 954 Look-Through Exception",2020-09-25T04:00Z,,false,,,,,2020-09-25T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"60358 - 60358",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0027-0023/content.pdf,https://downloads.regulations.gov/IRS-2019-0027-0023/content.htm",,
