Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"IRS-2008-0053-0009","IRS","IRS-2008-0053",,"Rule",2023-08-01T04:00Z,false,"2023-16225",,"Guidance: Amendment of Matching Rule for Certain Gains on Member Stock; Correction",2023-08-01T04:00Z,,false,,,,,2023-08-01T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"50041 - 50042",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2008-0053-0009/content.pdf,https://downloads.regulations.gov/IRS-2008-0053-0009/content.htm",,
"IRS-2016-0007-0008","IRS","IRS-2016-0007",,"Rule",2023-10-16T04:00Z,false,"2023-22286",,"Requirements for Type I and Type III Supporting Organizations",2023-10-16T04:00Z,,false,,,,,2023-10-16T04:00Z,,,,"26 CFR Parts 1 and 53",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Excise Taxes,Foundations,Investments,Lobbying",,,,,,,,"71287 - 71301",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0007-0008/content.pdf,https://downloads.regulations.gov/IRS-2016-0007-0008/content.htm",,
"IRS-2016-0007-0009","IRS","IRS-2016-0007",,"Rule",2023-11-20T05:00Z,false,"2023-25510",,"Requirements for Type I and Type III Supporting Organizations; Correction",2023-11-20T05:00Z,,false,,,,,2023-11-20T05:00Z,,,,"26 CFR Parts 1 and 53",,,,"Correction",,,,,,,,,,,,,"80584 - 80584",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2016-0007-0009/content.pdf,https://downloads.regulations.gov/IRS-2016-0007-0009/content.htm",,
"IRS-2018-0011-0036","IRS","IRS-2018-0011",,"Rule",2023-02-23T05:00Z,false,"2023-03710",,"Electronic-Filing Requirements for Specified Returns and Other Documents",2023-02-23T05:00Z,,false,,,,,2023-02-23T05:00Z,,,,"26 CFR Parts 1, 53, 54, and 301",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Estate Taxes,Gift Taxes,Penalties,Excise Taxes,Foundations,Investments,Lobbying,Pensions",,,,,,,,"11754 - 11778",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0011-0036/content.pdf,https://downloads.regulations.gov/IRS-2018-0011-0036/content.htm",,
"IRS-2018-0011-0037","IRS","IRS-2018-0011",,"Rule",2023-06-27T04:00Z,false,"2023-13555",,"Electronic-Filing Requirements for Specified Returns and Other Documents; Correction",2023-06-27T04:00Z,,false,,,,,2023-06-27T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"41499 - 41500",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0011-0037/content.pdf,https://downloads.regulations.gov/IRS-2018-0011-0037/content.htm",,
"IRS-2018-0027-0009","IRS","IRS-2018-0027",,"Rule",2023-12-19T05:00Z,false,"2023-27283",,"De Minimis Error Safe Harbor Exceptions to Penalties for Failure to File Correct Information Returns or Furnish Correct Payee Statements",2023-12-19T05:00Z,,false,,,,,2023-12-19T05:00Z,,,,"26 CFR Parts 1 and 301",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Penalties",,,,,,,,"87696 - 87714",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0027-0009/content.pdf,https://downloads.regulations.gov/IRS-2018-0027-0009/content.htm",,
"IRS-2019-0044-0012","IRS","IRS-2019-0044",,"Rule",2023-06-30T04:00Z,false,"2023-13890",,"Additional Guidance on the Transition from Interbank Offer Rates to Other Reference Rates with Respect to the Interest Rates of a Foreign Bank",2023-06-30T04:00Z,,false,,,,,2023-06-30T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"42231 - 42234",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0044-0012/content.pdf,https://downloads.regulations.gov/IRS-2019-0044-0012/content.htm",,
"IRS-2020-0020-0012","IRS","IRS-2020-0020",,"Rule",2023-07-12T04:00Z,false,"2023-14644",,"Carryback of Consolidated Net Operating Losses",2023-07-12T04:00Z,,false,,,,,2023-07-12T04:00Z,,,,"26 CFR Parts 1 and 602",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"44210 - 44216",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0020-0012/content.pdf,https://downloads.regulations.gov/IRS-2020-0020-0012/content.htm",,
"IRS-2020-0041-0008","IRS","IRS-2020-0041",,"Rule",2023-01-05T05:00Z,false,"2022-28593",,"Treatment of Special Enforcement Matters; Correction",2023-01-05T05:00Z,,false,,,,,2023-01-05T05:00Z,,,,"26 CFR Part 301",,,,"Correction",,,,,"Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Income Taxes,Penalties,Reporting,Recordkeeping and Reporting Requirements",,,,,,,,"756 - 756",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0041-0008/content.pdf,https://downloads.regulations.gov/IRS-2020-0041-0008/content.htm",,
"IRS-2020-0041-0009","IRS","IRS-2020-0041",,"Rule",2023-01-05T05:00Z,false,"2022-28594",,"Treatment of Special Enforcement Matters; Correction",2023-01-05T05:00Z,,false,,,,,2023-01-05T05:00Z,,,,"26 CFR Part 301",,,,"Correction",,,,,,,,,,,,,"755 - 755",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0041-0009/content.pdf,https://downloads.regulations.gov/IRS-2020-0041-0009/content.htm",,
"IRS-2021-0012-0003","IRS","IRS-2021-0012",,"Rule",2023-03-09T05:00Z,false,"2023-04828",,"Recapture of Excess Employment Tax Credits Under the American Relief Plan Act of 2021; Correction",2023-03-09T05:00Z,,false,,,,,2023-03-09T05:00Z,,,,"26 CFR Part 31",,,,"Correction",,,,,"Employment Taxes,Income Taxes,Penalties,Pensions,Railroad Retirement,Reporting and Recordkeeping Requirements,Social Security,Unemployment Compensation",,,,,,,,"14490 - 14490",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2021-0012-0003/content.pdf,https://downloads.regulations.gov/IRS-2021-0012-0003/content.htm",,
"IRS-2021-0012-0004","IRS","IRS-2021-0012",,"Rule",2023-07-26T04:00Z,false,"2023-15690",,"Recapture of Certain Excess Employment Tax Credits under COVID–19 Legislation",2023-07-26T04:00Z,,false,,,,,2023-07-26T04:00Z,,,,"26 CFR Part 31",,,,"Final Rule",,,,,"Employment Taxes,Fishing Vessels,Gambling,Income Taxes,Penalties,Pensions,Railroad Retirement,Reporting and Recordkeeping Requirements,Social Security,Unemployment Compensation",,,,,,,,"48118 - 48125",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2021-0012-0004/content.pdf,https://downloads.regulations.gov/IRS-2021-0012-0004/content.htm",,
"IRS-2021-0017-0013","IRS","IRS-2021-0017",,"Rule",2023-03-08T05:00Z,false,"2023-04552",,"Information Reporting of Health Insurance Coverage and Other Issues under Sections 5000A, 6055, and 6056: Correction",2023-03-08T05:00Z,,false,,,,,2023-03-08T05:00Z,,,,"26 CFR Part 301",,,,"Correction",,,,,"Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Income Taxes,Penalties,Reporting,Recordkeeping and Reporting Requirements",,,,,,,,"14259 - 14259",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2021-0017-0013/content.pdf,https://downloads.regulations.gov/IRS-2021-0017-0013/content.htm",,
"IRS-2022-0009-0008","IRS","IRS-2022-0009",,"Rule",2023-10-20T04:00Z,false,"2023-23267",,"Mortality Tables for Determining Present Value Under Defined Benefit Pension Plans",2023-10-20T04:00Z,,false,,,,,2023-10-20T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Incorporation by Reference,Reporting and Recordkeeping Requirements",,,,,,,,"72357 - 72366",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0009-0008/content.pdf,https://downloads.regulations.gov/IRS-2022-0009-0008/content.htm",,
"IRS-2022-0011-0011","IRS","IRS-2022-0011",,"Rule",2023-06-07T04:00Z,false,"2023-11837",,"Use of Actuarial Tablesin Valuing Annuities, Interests for Life or a Term of Years, and Remainder or Reversionary Interests",2023-06-07T04:00Z,,false,,,,,2023-06-07T04:00Z,,,,"26 CFR Parts 1, 20, and 25",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Estate Taxes,Gift Taxes",,,,,,,,"37424 - 37466",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0011-0011/content.pdf,https://downloads.regulations.gov/IRS-2022-0011-0011/content.htm",,
"IRS-2022-0019-0008","IRS","IRS-2022-0019",,"Rule",2023-10-20T04:00Z,false,"2023-23301",,"User Fees Relating to Enrolled Actuaries",2023-10-20T04:00Z,,false,,,,,2023-10-20T04:00Z,,,,"26 CFR Part 300",,,,"Final Rule",,,,,"Reporting and Recordkeeping Requirements",,,,,,,,"72366 - 72370",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0019-0008/content.pdf,https://downloads.regulations.gov/IRS-2022-0019-0008/content.htm",,
"IRS-2022-0019-0009","IRS","IRS-2022-0019",,"Rule",2023-11-21T05:00Z,false,"2023-25438",,"User Fees Relating to Enrolled Actuaries; Correction",2023-11-21T05:00Z,,false,,,,,2023-11-21T05:00Z,,,,"26 CFR Part 300",,,,"Correction",,,,,,,,,,,,,"80984 - 80984",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0019-0009/content.pdf,https://downloads.regulations.gov/IRS-2022-0019-0009/content.htm",,
"IRS-2022-0035-0002","IRS","IRS-2022-0035",,"Rule",2023-02-23T05:00Z,false,"2023-03457",,"Single-Entity Treatment of Consolidated Groups for Specific Purposes",2023-02-23T05:00Z,,false,,,,,2023-02-23T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"11393 - 11394",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2022-0035-0002/content.pdf,https://downloads.regulations.gov/IRS-2022-0035-0002/content.htm",,
"IRS-2023-0025-0079","IRS","IRS-2023-0025",,"Rule",2023-08-15T04:00Z,false,"2023-17078",,"Additional Guidance on Low-Income Communities Bonus Credit Program",2023-08-15T04:00Z,,false,,,,,2023-08-15T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"55506 - 55548",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2023-0025-0079/content.pdf,https://downloads.regulations.gov/IRS-2023-0025-0079/content.htm",,
"IRS-2023-0025-0080","IRS","IRS-2023-0025",,"Rule",2023-10-20T04:00Z,false,"C2-2023-17078",,"Additional Guidance on Low-Income Communities Bonus Credit Program",2023-10-20T04:00Z,,false,,,,,2023-10-20T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"72357 - 72357",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2023-0025-0080/content.pdf,https://downloads.regulations.gov/IRS-2023-0025-0080/content.htm",,
"IRS-2023-0025-0081","IRS","IRS-2023-0025",,"Rule",2023-12-20T05:00Z,false,"2023-27933",,"Additional Guidance on Low-Income Communities Bonus Credit Program; Correction",2023-12-20T05:00Z,,false,,,,,2023-12-20T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"87903 - 87903",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2023-0025-0081/content.pdf,https://downloads.regulations.gov/IRS-2023-0025-0081/content.htm",,
"IRS-2023-0044-0002","IRS","IRS-2023-0044",,"Rule",2023-12-21T05:00Z,false,"2023-27931",,"Federal Independent Dispute Resolution (IDR) Process Administrative Fee and Certified IDR Entity Fee Ranges",2023-12-21T05:00Z,,false,,,,,2023-12-21T05:00Z,,,,"26 CFR Part 54",,,,"Final Rule",,,,,"Excise Taxes,Pensions,Reporting and Recordkeeping Requirements,Continuation Coverage,Disclosure,Employee Benefit Plans,Group Health Plans,Health Care,Health Insurance,Medical Child Support,Reporting,Recordkeeping and Reporting Requirements",,,,,,,,"88494 - 88525",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2023-0044-0002/content.pdf,https://downloads.regulations.gov/IRS-2023-0044-0002/content.htm",,
"IRS-2023-0046-0002","IRS","IRS-2023-0046",,"Rule",2023-10-04T04:00Z,false,"2023-22103",,"Preparer Tax Identification Number User Fee Update",2023-10-04T04:00Z,,false,,,,,2023-10-04T04:00Z,,,,"26 CFR Part 300",,,,"Final Rule",,,,,"Estate Taxes,Excise Taxes,Fees,Gift Taxes,Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"68456 - 68459",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2023-0046-0002/content.pdf,https://downloads.regulations.gov/IRS-2023-0046-0002/content.htm",,
"IRS_FRDOC_0001-2092","IRS","IRS_FRDOC_0001",,"Rule",2023-02-24T05:00Z,false,"2023-02653",,"Annual Information Return/Reports",2023-02-24T05:00Z,,false,,,,,2023-02-24T05:00Z,,,,"26 CFR Part 301",,,,,,,,,,,,,,,,,"11984 - 12105",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS_FRDOC_0001-2092/content.pdf,https://downloads.regulations.gov/IRS_FRDOC_0001-2092/content.htm",,
"IRS_FRDOC_0001-2097","IRS","IRS_FRDOC_0001",,"Rule",2023-03-24T04:00Z,false,"2023-06296",,"Income Taxes; CFR Correction",2023-03-24T04:00Z,,false,,,,,2023-03-24T04:00Z,,,,"26 CFR Part 1",,,,,,,,,,,,,,,,,"17725 - 17725",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS_FRDOC_0001-2097/content.pdf,https://downloads.regulations.gov/IRS_FRDOC_0001-2097/content.htm",,
