Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"IRS-2018-0008-0019","IRS","IRS-2018-0008",,"Rule",2021-09-07T04:00Z,false,"2021-19225",,"Certain Non-Government Persons Not Authorized to Participate in Examinations of Books and Witnesses as a Section 6103(n) Contractor",2021-09-07T04:00Z,,false,,,,,2021-09-07T04:00Z,,,,"26 CFR Part 301",,,,"Final Rule",,,,,"Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Income Taxes,Penalties,Reporting and Recordkeeping Requirements",,,,,,,,"49923 - 49924",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2018-0008-0019/content.pdf,https://downloads.regulations.gov/IRS-2018-0008-0019/content.htm",,
"IRS-2019-0017-0003","IRS","IRS-2019-0017",,"Rule",2021-09-22T04:00Z,false,"2021-19980",,"Treatment of Distributions of Property from a Corporation to a Shareholder",2021-09-22T04:00Z,,false,,,,,2021-09-22T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"52612 - 52614",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0017-0003/content.pdf,https://downloads.regulations.gov/IRS-2019-0017-0003/content.htm",,
"IRS-2019-0022-0146","IRS","IRS-2019-0022",,"Rule",2021-08-05T04:00Z,false,"2021-16664",,"Investing in Qualified Opportunity Funds; Correction",2021-08-05T04:00Z,,false,,,,,2021-08-05T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"42715 - 42716",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0022-0146/content.pdf,https://downloads.regulations.gov/IRS-2019-0022-0146/content.htm",,
"IRS-2019-0022-0147","IRS","IRS-2019-0022",,"Rule",2021-08-05T04:00Z,false,"2021-16663",,"Investing in Qualified Opportunity Funds; Correcting Amendment",2021-08-05T04:00Z,,false,,,,,2021-08-05T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"42716 - 42716",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0022-0147/content.pdf,https://downloads.regulations.gov/IRS-2019-0022-0147/content.htm",,
"IRS-2019-0023-0028","IRS","IRS-2019-0023",,"Rule",2021-03-08T05:00Z,false,"2021-00504",,"Withholding of Tax and Information Reporting With Respect to Interests in Partnerships Engaged in a U.S. Trade or Business; Correcting Amendment",2021-03-08T05:00Z,,false,,,,,2021-03-08T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"13191 - 13191",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0023-0028/content.pdf,https://downloads.regulations.gov/IRS-2019-0023-0028/content.htm",,
"IRS-2019-0028-0011","IRS","IRS-2019-0028",,"Rule",2021-01-19T05:00Z,false,"2021-00667",,"Section 199A Rules for Cooperatives and their Patrons",2021-01-19T05:00Z,,false,,,,,2021-01-19T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"5544 - 5593",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0028-0011/content.pdf,https://downloads.regulations.gov/IRS-2019-0028-0011/content.htm",,
"IRS-2019-0034-0028","IRS","IRS-2019-0034",,"Rule",2021-01-15T05:00Z,false,"2020-27009",,"Guidance: Passive Foreign Investment Companies",2021-01-15T05:00Z,,false,,,,,2021-01-15T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"4516 - 4579",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0034-0028/content.pdf,https://downloads.regulations.gov/IRS-2019-0034-0028/content.htm",,
"IRS-2019-0034-0029","IRS","IRS-2019-0034",,"Rule",2021-03-05T05:00Z,false,"2021-04282",,"Guidance on Passive Foreign Investment Companies; Correction",2021-03-05T05:00Z,,false,,,,,2021-03-05T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"12821 - 12821",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0034-0029/content.pdf,https://downloads.regulations.gov/IRS-2019-0034-0029/content.htm",,
"IRS-2019-0034-0030","IRS","IRS-2019-0034",,"Rule",2021-03-10T05:00Z,false,"2021-04789",,"Guidance: Passive Foreign Investment Companies; Correction",2021-03-10T05:00Z,,false,,,,,2021-03-10T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"13647 - 13648",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0034-0030/content.pdf,https://downloads.regulations.gov/IRS-2019-0034-0030/content.htm",,
"IRS-2019-0034-0031","IRS","IRS-2019-0034",,"Rule",2021-03-10T05:00Z,false,"2021-04790",,"Guidance: Passive Foreign Investment Companies; Correction",2021-03-10T05:00Z,,false,,,,,2021-03-10T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"13648 - 13649",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0034-0031/content.pdf,https://downloads.regulations.gov/IRS-2019-0034-0031/content.htm",,
