Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"IRS-2017-0017-0003","IRS","IRS-2017-0017",,"Rule",2022-08-05T04:00Z,false,"2022-16271",,"Streamlining the Section 754 Election Statement",2022-08-05T04:00Z,,false,,,,,2022-08-05T04:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"47931 - 47932",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2017-0017-0003/content.pdf,https://downloads.regulations.gov/IRS-2017-0017-0003/content.htm",,
"IRS-2019-0021-0012","IRS","IRS-2019-0021",,"Rule",2022-12-29T05:00Z,false,"2022-27978",,"Exception for Interests Held by Foreign Pension Funds",2022-12-29T05:00Z,,false,,,,,2022-12-29T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"80042 - 80067",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0021-0012/content.pdf,https://downloads.regulations.gov/IRS-2019-0021-0012/content.htm",,
"IRS-2019-0028-0012","IRS","IRS-2019-0028",,"Rule",2022-11-17T05:00Z,false,"2022-24576",,"Section 199A Rules for Cooperatives and Their Patrons: Correction",2022-11-17T05:00Z,,false,,,,,2022-11-17T05:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"68898 - 68900",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0028-0012/content.pdf,https://downloads.regulations.gov/IRS-2019-0028-0012/content.htm",,
"IRS-2019-0044-0010","IRS","IRS-2019-0044",,"Rule",2022-01-04T05:00Z,false,"2021-28452",,"Guidance: Transition from Interbank Offered Rates to Other Reference Rates",2022-01-04T05:00Z,,false,,,,,2022-01-04T05:00Z,,,,"26 CFR Parts 1 and 301",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements,Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Penalties",,,,,,,,"166 - 182",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2019-0044-0010/content.pdf,https://downloads.regulations.gov/IRS-2019-0044-0010/content.htm",,
"IRS-2020-0040-0034","IRS","IRS-2020-0040",,"Rule",2022-01-04T05:00Z,false,"2021-27887",,"Foreign Tax Credit: Clarification of Foreign-Derived Intangible Income; Guidance",2022-01-04T05:00Z,,false,,,,,2022-01-04T05:00Z,,,,"26 CFR Part 1",,,,"Final Rule",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"276 - 376",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0040-0034/content.pdf,https://downloads.regulations.gov/IRS-2020-0040-0034/content.htm",,
"IRS-2020-0040-0035","IRS","IRS-2020-0040",,"Rule",2022-04-13T04:00Z,false,"C1-2021-27887",,"Guidance Related to the Foreign Tax Credit; Clarification of Foreign-Derived Intangible Income",2022-04-13T04:00Z,,false,,,,,2022-04-13T04:00Z,,,,,,,,"Correction",,,,,,,,,,,,,"21743 - 21743",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0040-0035/content.pdf,https://downloads.regulations.gov/IRS-2020-0040-0035/content.htm",,
"IRS-2020-0040-0038","IRS","IRS-2020-0040",,"Rule",2022-07-27T04:00Z,false,"2022-15868",,"Foreign Tax Credit: Clarification of Foreign-Derived Intangible Income; Guidance; Correction",2022-07-27T04:00Z,,false,,,,,2022-07-27T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,,,,,,,,,"45021 - 45022",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0040-0038/content.pdf,https://downloads.regulations.gov/IRS-2020-0040-0038/content.htm",,
"IRS-2020-0040-0039","IRS","IRS-2020-0040",,"Rule",2022-07-27T04:00Z,false,"2022-15867",,"Foreign Tax Credit: Clarification of Foreign-Derived Intangible Income; Guidance; Correction",2022-07-27T04:00Z,,false,,,,,2022-07-27T04:00Z,,,,"26 CFR Part 1",,,,"Correction",,,,,"Income Taxes,Reporting and Recordkeeping Requirements",,,,,,,,"45018 - 45021",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0040-0039/content.pdf,https://downloads.regulations.gov/IRS-2020-0040-0039/content.htm",,
"IRS-2020-0041-0007","IRS","IRS-2020-0041",,"Rule",2022-12-09T05:00Z,false,"2022-26783",,"Treatment of Special Enforcement Matters",2022-12-09T05:00Z,,false,,,,,2022-12-09T05:00Z,,,,"26 CFR Part 301",,,,"Final Rule",,,,,"Employment Taxes,Estate Taxes,Excise Taxes,Gift Taxes,Income Taxes,Penalties,Reporting and Recordkeeping Requirements",,,,,,,,"75473 - 75495",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2020-0041-0007/content.pdf,https://downloads.regulations.gov/IRS-2020-0041-0007/content.htm",,
"IRS-2021-0014-0006","IRS","IRS-2021-0014",,"Rule",2022-03-01T05:00Z,false,"2022-04302",,"User Fees: Enrolled Agent Special Enrollment Examination and the Enrolled Retirement Plan Agent Special Enrollment Examination",2022-03-01T05:00Z,,false,,,,,2022-03-01T05:00Z,,,,"26 CFR Part 300",,,,"Final Rule",,,,,"Reporting and Recordkeeping Requirements,User Fees",,,,,,,,"11295 - 11297",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/IRS-2021-0014-0006/content.pdf,https://downloads.regulations.gov/IRS-2021-0014-0006/content.htm",,
