Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"SEC-2024-0041-0001","SEC",,,"Rule",2024-01-16T05:00Z,false,"2023-27860",,"Standards for Covered Clearing Agencies for U.S. Treasury Securities and Application of the Broker-Dealer Customer Protection Rule with Respect to U.S. Treasury Securities",2024-01-16T05:00Z,,false,,,,,2024-01-16T05:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0041-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0041-0001/content.htm",,
"SEC-2024-0089-0001","SEC",,,"Rule",2024-01-24T05:00Z,false,"2024-01314",,"Updated Electronic Data Gathering, Analysis, and Retrieval System Filer Manual",2024-01-24T05:00Z,,false,,,,,2024-01-24T05:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0089-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0089-0001/content.htm",,
"SEC-2024-0257-0001","SEC",,,"Rule",2024-02-26T05:00Z,false,"2024-01853",,"Special Purpose Acquisition Companies, Shell Companies, and Projections",2024-02-26T05:00Z,,false,,,,,2024-02-26T05:00Z,,,,,,,,,,,,,"Accounting,Banks and Banking,Employee Benefit Plans,Holding Companies,Insurance Companies,Investment Companies,Oil and Gas Exploration,Reporting and Recordkeeping Requirements,Securities,Utilities,Administrative Practices and Procedures",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0257-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0257-0001/content.htm",,
"SEC-2024-0268-0001","SEC",,,"Rule",2024-02-28T05:00Z,false,"2024-04062",,"Supplemental Standards of Ethical Conduct for Members and Employees",2024-02-28T05:00Z,,false,,,,,2024-02-28T05:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Conflict of Interests,Ethical Conduct,Government Employees,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0268-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0268-0001/content.htm",,
"SEC-2024-0272-0001","SEC",,,"Rule",2024-02-29T05:00Z,false,"2024-02837",,"Further Definition of As a Part of a Regular Business in the Definition of Dealer and Government Securities Dealer in Connection with Certain Liquidity Providers",2024-02-29T05:00Z,,false,,,,,2024-02-29T05:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0272-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0272-0001/content.htm",,
"SEC-2024-0329-0001","SEC",,,"Rule",2024-03-12T04:00Z,false,"2024-03473",,"Reporting Requirements for All Filers and Large Hedge Fund Advisers",2024-03-12T04:00Z,,false,,,,,2024-03-12T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0329-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0329-0001/content.htm",,
"SEC-2024-0473-0001","SEC",,,"Rule",2024-03-28T04:00Z,false,"2024-05137",,"The Enhancement and Standardization of Climate-Related Disclosures for Investors",2024-03-28T04:00Z,,false,,,,,2024-03-28T04:00Z,,,,,,,,,,,,,"Accounting",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0473-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0473-0001/content.htm",,
"SEC-2024-0496-0001","SEC",,,"Rule",2024-04-08T04:00Z,false,"2024-06187",,"Share Repurchase Disclosure Modernization",2024-04-08T04:00Z,,false,,,,,2024-04-08T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0496-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0496-0001/content.htm",,
"SEC-2024-0497-0001","SEC",,,"Rule",2024-04-09T04:00Z,false,"2024-06865",,"Exemption for Certain Investment Advisers Operating through the Internet",2024-04-09T04:00Z,,false,,,,,2024-04-09T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0497-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0497-0001/content.htm",,
"SEC-2024-0510-0001","SEC",,,"Rule",2024-04-12T04:00Z,false,"2024-07648",,"The Enhancement and Standardization of Climate-Related Disclosures for Investors",2024-04-12T04:00Z,,false,,,,,2024-04-12T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0510-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0510-0001/content.htm",,
"SEC-2024-0513-0001","SEC",,,"Rule",2024-04-15T04:00Z,false,"2024-05556",,"Disclosure of Order Execution Information",2024-04-15T04:00Z,,false,,,,,2024-04-15T04:00Z,,,,,,,,,,,,,"Brokers,Confidential Business Information,Fraud,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0513-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0513-0001/content.htm",,
"SEC-2024-0531-0001","SEC",,,"Rule",2024-04-19T04:00Z,false,"2024-08091",,"Adoption of Updated EDGAR Filer Manual",2024-04-19T04:00Z,,false,,,,,2024-04-19T04:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2024-0531-0001/content.pdf,https://downloads.regulations.gov/SEC-2024-0531-0001/content.htm",,
