Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"SEC-2023-0079-0001","SEC",,,"Rule",2023-01-24T05:00Z,false,"2023-01200",,"Adoption of Updated EDGAR Filer Manual",2023-01-24T05:00Z,,false,,,,,2023-01-24T05:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0079-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0079-0001/content.htm",,
"SEC-2023-0226-0001","SEC",,,"Rule",2023-02-27T05:00Z,false,"2023-03931",,"Extending Form 144 EDGAR Filing Hours",2023-02-27T05:00Z,,false,,,,,2023-02-27T05:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0226-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0226-0001/content.htm",,
"SEC-2023-0242-0001","SEC",,,"Rule",2023-03-06T05:00Z,false,"2023-03566",,"Shortening the Securities Transaction Settlement Cycle",2023-03-06T05:00Z,,false,,,,,2023-03-06T05:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0242-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0242-0001/content.htm",,
"SEC-2023-0336-0001","SEC",,,"Rule",2023-03-24T04:00Z,false,"2023-06293",,"Regulation S-T, General Rules and Regulations for Electronic Filings; CFR Correction",2023-03-24T04:00Z,,false,,,,,2023-03-24T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0336-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0336-0001/content.htm",,
"SEC-2023-0343-0001","SEC",,,"Rule",2023-03-24T04:00Z,false,"2023-06287",,"General Rules and Regulations, Securities Act of 1933; CFR Correction",2023-03-24T04:00Z,,false,,,,,2023-03-24T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0343-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0343-0001/content.htm",,
"SEC-2023-0364-0001","SEC",,,"Rule",2023-03-30T04:00Z,false,"2023-06701",,"General Rules and Regulations, Securities Exchange Act of 1934; CFR Correction",2023-03-30T04:00Z,,false,,,,,2023-03-30T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEC-2023-0395-0001","SEC",,,"Rule",2023-04-07T04:00Z,false,"C1-2022-27675",,"Insider Trading Arrangements and Related Disclosures",2023-04-07T04:00Z,,false,,,,,2023-04-07T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0395-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0395-0001/content.htm",,
"SEC-2023-0437-0001","SEC",,,"Rule",2023-04-20T04:00Z,false,"2023-08216",,"Adoption of Updated Electronic Data Gathering, Analysis, and Retrieval System Filer Manual",2023-04-20T04:00Z,,false,,,,,2023-04-20T04:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0437-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0437-0001/content.htm",,
"SEC-2023-0559-0001","SEC",,,"Rule",2023-05-23T04:00Z,false,"2023-10442",,"Technical Amendments to Form BD and Form BDW",2023-05-23T04:00Z,,false,,,,,2023-05-23T04:00Z,,,,,,,,,,,,,"Broker-Dealers,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0559-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0559-0001/content.htm",,
"SEC-2023-0570-0001","SEC",,,"Rule",2023-06-01T04:00Z,false,"2023-09965",,"Share Repurchase Disclosure Modernization",2023-06-01T04:00Z,,false,,,,,2023-06-01T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0570-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0570-0001/content.htm",,
"SEC-2023-0605-0001","SEC",,,"Rule",2023-06-12T04:00Z,false,"2023-11845",,"Technical Amendments to Commission Rules and Forms",2023-06-12T04:00Z,,false,,,,,2023-06-12T04:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Organization and Functions (Government Agencies),Reporting and Recordkeeping Requirements,Securities,Investment Companies,Investment Advisers",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0605-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0605-0001/content.htm",,
"SEC-2023-0606-0001","SEC",,,"Rule",2023-06-12T04:00Z,false,"2023-09775",,"Form PF; Event Reporting for Large Hedge Fund Advisers and Private Equity Fund Advisers; Requirements for Large Private Equity Fund Adviser Reporting",2023-06-12T04:00Z,,false,,,,,2023-06-12T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0606-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0606-0001/content.htm",,
"SEC-2023-0647-0001","SEC",,,"Rule",2023-06-20T04:00Z,false,"2023-12591",,"Removal of References to Credit Ratings from Regulation M",2023-06-20T04:00Z,,false,,,,,2023-06-20T04:00Z,,,,,,,,,,,,,"Broker-Dealers,Fraud,Issuers,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0647-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0647-0001/content.htm",,
"SEC-2023-0699-0001","SEC",,,"Rule",2023-06-30T04:00Z,false,"2023-12592",,"Prohibition Against Fraud, Manipulation, or Deception in Connection with Security-Based Swaps; Prohibition against Undue Influence over Chief Compliance Officers",2023-06-30T04:00Z,,false,,,,,2023-06-30T04:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Brokers,Confidential Business Information,Fraud,Reporting and Recordkeeping Requirements,Securities,Swaps",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0699-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0699-0001/content.htm",,
"SEC-2023-0741-0001","SEC",,,"Rule",2023-07-18T04:00Z,false,"2023-15171",,"Adoption of Updated Electronic Data Gathering, Analysis, and Retrieval System Filer Manual",2023-07-18T04:00Z,,false,,,,,2023-07-18T04:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0741-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0741-0001/content.htm",,
"SEC-2023-0824-0001","SEC",,,"Rule",2023-08-03T04:00Z,false,"2023-15124",,"Money Market Fund Reforms; Form PF Reporting Requirements for Large Liquidity Fund Advisers; Technical Amendments to Form N–CSR and Form N–1A",2023-08-03T04:00Z,,false,,,,,2023-08-03T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0824-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0824-0001/content.htm",,
"SEC-2023-0835-0001","SEC",,,"Rule",2023-08-04T04:00Z,false,"2023-16194",,"Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure",2023-08-04T04:00Z,,false,,,,,2023-08-04T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2023-0835-0001/content.pdf,https://downloads.regulations.gov/SEC-2023-0835-0001/content.htm",,
