Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"SEC-2020-0149-0001","SEC",,,"Rule",2020-02-04T05:00Z,false,"2019-27762",,"Risk Mitigation Techniques for Uncleared Security-Based Swaps",2020-02-04T05:00Z,,false,,,,,2020-02-04T05:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities,Security-Based Swaps,Security-Based Swap Dealers,Major Security-Based Swap Participants",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0149-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0149-0001/content.htm",,
"SEC-2020-0152-0001","SEC",,,"Rule",2020-02-04T05:00Z,false,"2019-27760",,"Cross-Border Application of Certain Security-Based Swap Requirements",2020-02-04T05:00Z,,false,,,,,2020-02-04T05:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Brokers,Claims,Confidential Business Information,Equal Access to Justice,Lawyers,Penalties,Securities,Fraud,Reporting and Recordkeeping Requirements",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0152-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0152-0001/content.htm",,
"SEC-2020-0216-0001","SEC",,,"Rule",2020-02-19T05:00Z,false,"2020-02083",,"Adoption of Updated EDGAR Filer Manual",2020-02-19T05:00Z,,false,,,,,2020-02-19T05:00Z,,,,,,,,,,,,,"Incorporation by Reference,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0216-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0216-0001/content.htm",,
"SEC-2020-0258-0001","SEC",,,"Rule",2020-02-25T05:00Z,false,"2020-02296",,"Commission Guidance on Management's Discussion and Analysis of Financial Condition and Results of Operations",2020-02-25T05:00Z,,false,,,,,2020-02-25T05:00Z,,,,,,,,,,,,,"Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0258-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0258-0001/content.htm",,
"SEC-2020-0294-0001","SEC",,,"Rule",2020-03-02T05:00Z,false,"2020-03705",,"Delegation of Authority to the General Counsel of the Commission",2020-03-02T05:00Z,,false,,,,,2020-03-02T05:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Authority Delegations (Government Agencies)",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0294-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0294-0001/content.htm",,
"SEC-2020-0329-0001","SEC",,,"Rule",2020-03-10T04:00Z,false,"2020-04571",,"Exemptions From Investment Adviser Registration for Advisers to Certain Rural Business Investment Companies",2020-03-10T04:00Z,,false,,,,,2020-03-10T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0329-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0329-0001/content.htm",,
"SEC-2020-0459-0001","SEC",,,"Rule",2020-03-26T04:00Z,false,"2020-05546",,"Accelerated Filer and Large Accelerated Filer Definitions",2020-03-26T04:00Z,,false,,,,,2020-03-26T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0459-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0459-0001/content.htm",,
"SEC-2020-0469-0001","SEC",,,"Rule",2020-03-31T04:00Z,false,"2020-06721",,"Relief for Form ID Filers and Regulation Crowdfunding and Regulation A Issuers Related to Coronavirus Disease 2019 (COVID-19)",2020-03-31T04:00Z,,false,,,,,2020-03-31T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0469-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0469-0001/content.htm",,
"SEC-2020-0551-0001","SEC",,,"Rule",2020-04-09T04:00Z,false,"2020-06926",,"Accelerated Filer and Large Accelerated Filer Definitions; Correction",2020-04-09T04:00Z,,false,,,,,2020-04-09T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0551-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0551-0001/content.htm",,
"SEC-2020-0597-0001","SEC",,,"Rule",2020-04-20T04:00Z,false,"2020-04776",,"Financial Disclosures About Guarantors and Issuers of Guaranteed Securities and Affiliates Whose Securities Collateralize a Registrant's Securities",2020-04-20T04:00Z,,false,,,,,2020-04-20T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0597-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0597-0001/content.htm",,
"SEC-2020-0704-0001","SEC",,,"Rule",2020-05-01T04:00Z,false,"2020-05526",,"Updated Disclosure Requirements and Summary Prospectus for Variable Annuity and Variable Life Insurance Contracts",2020-05-01T04:00Z,,false,,,,,2020-05-01T04:00Z,,,,,,,,,,,,,"Administrative Practices and Procedures,Organization and Functions (Government Agencies),Investment Companies,Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0704-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0704-0001/content.htm",,
"SEC-2020-0738-0001","SEC",,,"Rule",2020-05-07T04:00Z,false,"2020-09806",,"Temporary Amendments to Regulation Crowdfunding",2020-05-07T04:00Z,,false,,,,,2020-05-07T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities,Administrative Practices and Procedures",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0738-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0738-0001/content.htm",,
"SEC-2020-0764-0001","SEC",,,"Rule",2020-05-13T04:00Z,false,"C1-2020-05526",,"Updated Disclosure Requirements and Summary Prospectus for Variable Annuity and Variable Life Insurance Contracts",2020-05-13T04:00Z,,false,,,,,2020-05-13T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0764-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0764-0001/content.htm",,
"SEC-2020-0773-0001","SEC",,,"Rule",2020-05-14T04:00Z,false,"2020-07905",,"Definition of Covered Clearing Agency",2020-05-14T04:00Z,,false,,,,,2020-05-14T04:00Z,,,,,,,,,,,,,"Reporting and Recordkeeping Requirements,Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0773-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0773-0001/content.htm",,
"SEC-2020-0784-0001","SEC",,,"Rule",2020-05-18T04:00Z,false,"C2-2020-05526",,"Updated Disclosure Requirements and Summary Prospectus for Variable Annuity and Variable Life Insurance Contracts",2020-05-18T04:00Z,,false,,,,,2020-05-18T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/SEC-2020-0784-0001/content.pdf,https://downloads.regulations.gov/SEC-2020-0784-0001/content.htm",,
