ID,Title,NumSections,SectionHeaders
IRS-2008-0041-0003,"Federal Register, Volume 85 Issue 113 (Thursday, June 11, 2020)",1,Main Content
IRS-2008-0053-0009,"Federal Register, Volume 88 Issue 146 (Tuesday, August 1, 2023)",1,Main Content
IRS-2008-0092-0007,"Federal Register, Volume 85 Issue 162 (Thursday, August 20, 2020)",1,Main Content
IRS-2011-0050-0006,"Federal Register, Volume 85 Issue 46 (Monday, March 9, 2020)",1,Main Content
IRS-2014-0001-0014,"Federal Register, Volume 85 Issue 88 (Wednesday, May 6, 2020)",1,Main Content
IRS-2014-0030-0004,"Federal Register, Volume 89 Issue 231 (Monday, December 2, 2024)",14,Authority | I. Overlapping Economic Risk of Loss | II. Tiered Partnerships | III. General Issues of EROL | IV. Related Party Rules | V. Ordering Rule | VI. Liquidating Distributions of Partnership Interests | VII. Applicability Date | I. Paperwork Reduction Act | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism | V. Regulatory Planning and Review | VI. Congressional Review Act
IRS-2015-0030-0227,"Federal Register, Volume 85 Issue 224 (Thursday, November 19, 2020)",1,Main Content
IRS-2016-0007-0008,"Federal Register, Volume 88 Issue 198 (Monday, October 16, 2023)",14,I. Overview | II. PPA Changes to Type III Supporting Organizations | III. Prior Rulemaking | I. Overview | II. Contributions From Controlling Donors--Meaning of Control | III. Type III Supporting Organization Relationship Test | IV. Technical Corrections | V. Applicability Date | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2016-0007-0009,"Federal Register, Volume 88 Issue 222 (Monday, November 20, 2023)",1,Main Content
IRS-2016-0007-0010,"Federal Register, Volume 89 Issue 60 (Wednesday, March 27, 2024)",1,Main Content
IRS-2016-0010-0035,"Federal Register, Volume 89 Issue 180 (Tuesday, September 17, 2024)",3,Background | I. Proposed Sec.  1.1014-10(d): Executor | I. Penalties
IRS-2016-0038-0007,"Federal Register, Volume 85 Issue 50 (Friday, March 13, 2020)",10,Background | I. Authority To Charge User Fees | II. Notice of Proposed Rulemaking | III. The Taxpayer First Act | I. Overview | II. First Comment | III. Second Comment | IV. Third Comment | V. Fourth Comment | VI. Final Regulations
IRS-2016-0040-0003,"Federal Register, Volume 85 Issue 94 (Thursday, May 14, 2020)",8,I. Overview | II. Executive Order 13789 | III. The Distribution Regulations | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2016-0044-0011,"Federal Register, Volume 89 Issue 13 (Friday, January 19, 2024)",1,Main Content
IRS-2016-0047-0004,"Federal Register, Volume 85 Issue 56 (Monday, March 23, 2020)",1,Main Content
IRS-2016-0053-0005,"Federal Register, Volume 85 Issue 52 (Tuesday, March 17, 2020)",1,Main Content
IRS-2016-0053-0006,"Federal Register, Volume 85 Issue 52 (Tuesday, March 17, 2020)",1,Main Content
IRS-2016-0054-0015,"Federal Register, Volume 85 Issue 173 (Friday, September 4, 2020)",1,Main Content
IRS-2017-0002-0013,"Federal Register, Volume 85 Issue 1 (Thursday, January 2, 2020)",13,"Background | I. Requirement for a Withholding Agent To Obtain a Foreign Taxpayer | II. Nonqualified Intermediary Withholding Statements | III. Electronic Signatures for Purposes of Chapters 3 and 4 | IV. Withholding Certificates and Withholding Statements Furnished | V. Limitation on Benefits for Treaty Claims on Withholding Certificates | VI. Permanent Residence Address Subject To Hold Mail Instruction for | VII. Technical Corrections, Conforming Change, and Applicability Dates | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism"
IRS-2017-0002-0014,"Federal Register, Volume 85 Issue 45 (Friday, March 6, 2020)",1,Main Content
IRS-2017-0005-0005,"Federal Register, Volume 85 Issue 15 (Thursday, January 23, 2020)",8,Background | I. Overview | II. Comment | III. Modifications and Clarifications | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism
IRS-2017-0005-0006,"Federal Register, Volume 85 Issue 32 (Tuesday, February 18, 2020)",1,Main Content
IRS-2017-0005-0007,"Federal Register, Volume 85 Issue 32 (Tuesday, February 18, 2020)",1,Main Content
IRS-2017-0010-0003,"Federal Register, Volume 85 Issue 20 (Thursday, January 30, 2020)",1,Main Content
IRS-2017-0017-0003,"Federal Register, Volume 87 Issue 150 (Friday, August 5, 2022)",6,Background | I. Regulatory Planning and Review | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132 Federalism | V. Paperwork Reduction Act
IRS-2018-0008-0019,"Federal Register, Volume 86 Issue 170 (Tuesday, September 7, 2021)",1,Main Content
IRS-2018-0011-0036,"Federal Register, Volume 88 Issue 36 (Thursday, February 23, 2023)",13,Background | I. The Applicability Date of the Final Regulations | II. The Electronic-Filing Rules for Information Returns | III. Waiver and Exemptions | IV. Form 1042 Substantiation Requirements To Claim Credit on Line 67 | V. Regulatory Flexibility Act Certification | VI. Clarification on a Failure To File Electronically When Required | VII. Clarification on 10-Return Calculation for Material Advisor | I. Regulatory Planning and Review--Economic Analysis | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism | V. Congressional Review Act
IRS-2018-0011-0037,"Federal Register, Volume 88 Issue 122 (Tuesday, June 27, 2023)",1,Main Content
IRS-2018-0027-0009,"Federal Register, Volume 88 Issue 242 (Tuesday, December 19, 2023)",10,Background | I. Effect of the Regulations on Tax Compliance | II. De minimis Error Safe Harbor Election | III. Clarification of Items in the Proposed Regulations and Other | I. Regulatory Planning and Review | II. Regulatory Flexibility Act | III. Paperwork Reduction Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2018-0027-0010,"Federal Register, Volume 89 Issue 57 (Friday, March 22, 2024)",1,Main Content
IRS-2018-0027-0011,"Federal Register, Volume 89 Issue 57 (Friday, March 22, 2024)",1,Main Content
IRS-2018-0037-0020,"Federal Register, Volume 85 Issue 25 (Thursday, February 6, 2020)",1,Main Content
IRS-2018-0040-0051,"Federal Register, Volume 85 Issue 95 (Friday, May 15, 2020)",1,Main Content
IRS-2019-0003-0004,"Federal Register, Volume 85 Issue 216 (Friday, November 6, 2020)",4,Background | I. Overview | II. Comments and Revisions to Proposed Sec.  1.864(c)(8)-1 | III. Applicability Dates
IRS-2019-0004-0125,"Federal Register, Volume 85 Issue 178 (Monday, September 14, 2020)",28,II. Comments on and Changes to Proposed Sec.  1.163(j)-1: | III. Comments on and Changes to Proposed Sec.  1.163(j)-2: Deduction | IV. Comments on and Changes to Section Proposed Sec.  1.163(j)-3: | V. Comments on and Changes to Proposed Sec.  1.163(j)-4: General | VI. Comments on and Changes to Proposed Sec.  1.163(j)-5: General | VII. Comments on and Changes to Section 1.163(j)-6: Application of | VIII. Comments on and Changes to Proposed Sec.  1.163(j)-7: | X. Comments on and Changes to Proposed Sec.  1.163(j)-9: Elections | I. Overview | II. Comments on and Changes to Proposed Sec.  1.163(j)-1: Definitions | I. Applicability Dates | III. Comments on and Changes to Proposed Sec.  1.163(j)-2: Deduction | IV. Comments on and Changes to Section Proposed Sec.  1.163(j)-3: | V. Comments on and Changes to Proposed Sec.  1.163(j)-4: General Rules | I. Application of Section 163(j) to Tax-Exempt Entities | VI. Comments on and Changes to Proposed Sec.  1.163(j)-5: General Rules | VII. Comments on and Changes to Section 1.163(j)-6: Application of the | I. Partnership or S Corporation Not Subject to Section 163(j) | VIII. Comments on and Changes to Proposed Sec.  1.163(j)-7: Application | IX. Comments on and Changes to Section 1.163(j)-8: Application of the | X. Comments on and Changes to Proposed Sec.  1.163(j)-9: Elections for | I. Deemed Asset Sale | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0005-0013,"Federal Register, Volume 85 Issue 68 (Wednesday, April 8, 2020)",8,Background | I. Overview | II. Comments and Revisions to Proposed Sec.  1.245A(e)-1--Special Rules | III. Comments and Revisions to Proposed Sec. Sec.  1.267A-1 Through | IV. Comments and Revisions to Dual Consolidated Loss Rules and Entity | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act
IRS-2019-0005-0014,"Federal Register, Volume 85 Issue 150 (Tuesday, August 4, 2020)",1,Main Content
IRS-2019-0006-0007,"Federal Register, Volume 89 Issue 249 (Monday, December 30, 2024)",6,Authority | I. Regulatory Planning and Review | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism | V. Congressional Review Act
IRS-2019-0009-0020,"Federal Register, Volume 85 Issue 123 (Thursday, June 25, 2020)",7,Background | I. Treatment of Previously Suspended Losses Included in QBI | II. RICs With Interests in REITs and PTPs | III. Special Rules for Trusts and Estates | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act (PRA) | III. Regulatory Flexibility Act
IRS-2019-0012-0052,"Federal Register, Volume 85 Issue 136 (Wednesday, July 15, 2020)",17,Background | I. Overview | II. Comments on and Revisions to Documentation Requirements and | III. Comments on and Revisions to Proposed Sec.  1.250(a)-1--Deduction | IV. Comments on and Revisions to Proposed Sec.  1.250(b)-1--Computation | V. Comments on and Revisions to Proposed Sec.  1.250(b)-2--Qualified | VI. Comments on and Revisions to Proposed Sec.  1.250(b)-3--FDDEI | VII. Comments on and Revisions to Proposed Sec.  1.250(b)-4--FDDEI | VIII. Comments on and Revisions to Proposed Sec.  1.250(b)-5--FDDEI | IX. Comments on and Revisions to Proposed Sec.  1.250(b)-6--Related | X. Comments on and Revisions to Proposed Sec.  1.962-1 | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0012-0053,"Federal Register, Volume 85 Issue 189 (Tuesday, September 29, 2020)",1,Main Content
IRS-2019-0012-0055,"Federal Register, Volume 85 Issue 209 (Wednesday, October 28, 2020)",1,Main Content
IRS-2019-0012-0056,"Federal Register, Volume 85 Issue 213 (Tuesday, November 3, 2020)",1,Main Content
IRS-2019-0017-0003,"Federal Register, Volume 86 Issue 181 (Wednesday, September 22, 2021)",1,Main Content
IRS-2019-0021-0012,"Federal Register, Volume 87 Issue 249 (Thursday, December 29, 2022)",11,Background | I. Comments and Revisions Related to the Scope of the Exception | II. Comments and Revisions Relating to Requirements Applicable to a | III. Other Comments and Revisions | IV. Applicability Dates | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Section 7805(f) | V. Unfunded Mandates Reform Act | VI. Executive Order 13132: Federalism
IRS-2019-0022-0142,"Federal Register, Volume 85 Issue 8 (Monday, January 13, 2020)",20,"Background | I. Overview | II. Comments on and Changes to Proposed Sec.  1.1400Z2(a)-1 | III. Comments on and Changes to Proposed Sec.  1.1400Z2(b)-1 | I. Voluntary Inclusion; Applicable Tax Rate | IV. Comments on and Changes to Proposed Sec.  1.1400Z2(c)-1 | V. Comments on and Changes To Proposed Sec.  1.1400Z2(d)-1 | I. Substantial Improvement of Qualified Opportunity Zone Business | V. Exceptions Based on Location in Which an Entity Is Created, Formed | VI. Comments on and Changes to Proposed Sec.  1.1400Z2(e)-1 | VII. Comments on and Changes to Proposed Sec.  1.1400Z2(f)-1 | VIII. Comments on and Changes to Proposed Sec.  1.1400Z2(g)-1 | IX. Comments Not Specifically on Regulatory Text | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Executive Order 13175: Consultation and Coordination With Indian | VII. Congressional Review Act"
IRS-2019-0022-0144,"Federal Register, Volume 85 Issue 66 (Monday, April 6, 2020)",1,Main Content
IRS-2019-0022-0146,"Federal Register, Volume 86 Issue 148 (Thursday, August 5, 2021)",1,Main Content
IRS-2019-0022-0147,"Federal Register, Volume 86 Issue 148 (Thursday, August 5, 2021)",1,Main Content
IRS-2019-0023-0027,"Federal Register, Volume 85 Issue 230 (Monday, November 30, 2020)",14,Background | I. Overview | II. Reporting Requirements for Foreign Transferors and Partnerships | III. Scope of the Withholding Obligation Under Section 1446(f) | IV. Withholding on the Transfer of a Non-PTP Interest | V. Partnership's Requirement To Withhold Under Section 1446(f)(4) on | VI. Withholding on the Transfer of a PTP Interest by a Foreign Person | VII. Amendments to Existing Section 1446 Regulations Relating to | VIII. Applicability Dates | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2019-0023-0028,"Federal Register, Volume 86 Issue 43 (Monday, March 8, 2021)",1,Main Content
IRS-2019-0025-0003,"Federal Register, Volume 89 Issue 203 (Monday, October 21, 2024)",7,Authority | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0027-0022,"Federal Register, Volume 85 Issue 167 (Thursday, August 27, 2020)",12,Background | I. Overview | II. Comments Relating to Authority To Issue the 2019 Regulations | III. Comments and Revisions Related to Extraordinary Dispositions | IV. Comments and Revisions Related to Extraordinary Reductions | V. Anti-Abuse Rule | VI. Applicability Date | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2019-0027-0024,"Federal Register, Volume 85 Issue 221 (Monday, November 16, 2020)",1,Main Content
IRS-2019-0027-0025,"Federal Register, Volume 85 Issue 220 (Friday, November 13, 2020)",1,Main Content
IRS-2019-0028-0011,"Federal Register, Volume 86 Issue 11 (Tuesday, January 19, 2021)",17,"Background | I. Sec.  1.199A-7, Rules for Patrons of Cooperatives | II. Sec.  1.199A-8, Deduction for Income Attributable to Domestic | I. Comments on Rules for Specific Cooperative Partners in Proposed | III. Sec.  1.199A-9, Domestic Production Gross Receipts | IV. Sec.  1.199A-10, Costs Allocable to DPGR | V. Sec.  1.199A-11, Wage Limitation | VI. Sec.  1.199A-12, Expanded Affiliated Group (EAG) Rules | VII. Sec.  1.1382-3, Taxable Income of Cooperatives; Special Deductions | VIII. Removal of Section 199 Regulations | IX. Comments on Proposed Applicability Date and Transition Rule | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act"
IRS-2019-0028-0012,"Federal Register, Volume 87 Issue 221 (Thursday, November 17, 2022)",1,Main Content
IRS-2019-0029-0034,"Federal Register, Volume 85 Issue 142 (Thursday, July 23, 2020)",15,Background | I. Overview | II. Calculation of Effective Foreign Tax Rate | III. Adoption of Tested Unit Standard | IV. Rules Regarding the Election | V. Foreign Tax Credit Rules | VI. Removal of Examples in Sec.  1.954-1(d)(7) | VII. Authority | VIII. Applicability Dates | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0029-0035,"Federal Register, Volume 85 Issue 197 (Friday, October 9, 2020)",1,Main Content
IRS-2019-0033-0020,"Federal Register, Volume 85 Issue 200 (Thursday, October 15, 2020)",7,Background | I. Need for Regulation | II. The Statute and the Final Regulations | III. Baseline | IV. Affected Entities | V. Economic Effects of the Final Regulations | VI. Economic Analysis of Specific Provisions
IRS-2019-0034-0028,"Federal Register, Volume 86 Issue 10 (Friday, January 15, 2021)",15,Background | I. Overview | II. Comments and Revisions to Proposed Sec.  1.1291-1--Taxation of U.S. | III. Comments and Revisions to Proposed Sec.  1.1297-1--Definition of | IV. Comments and Revisions to Proposed Sec.  1.1297-2--Special Rules | V. Comments and Revisions to Proposed Sec.  1.1297-4--Qualifying | VI. Comments and Revisions to Proposed Sec.  1.1297-5 and New Sec. | VII. Comments and Revisions to Proposed Sec.  1.1298-4--Rules for | VIII. Comments and Revisions Regarding Applicability Dates | I. Regulatory Planning and Review--Economic Analyses | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0034-0029,"Federal Register, Volume 86 Issue 42 (Friday, March 5, 2021)",1,Main Content
IRS-2019-0034-0030,"Federal Register, Volume 86 Issue 45 (Wednesday, March 10, 2021)",1,Main Content
IRS-2019-0034-0031,"Federal Register, Volume 86 Issue 45 (Wednesday, March 10, 2021)",1,Main Content
IRS-2019-0036-0002,"Federal Register, Volume 85 Issue 24 (Wednesday, February 5, 2020)",1,Main Content
IRS-2019-0038-0018,"Federal Register, Volume 86 Issue 3 (Wednesday, January 6, 2021)",14,Background | I. Section 451(b) | II. Section 451(c) | III. Prior Guidance | I. Overview | II. Comments and Explanation of Revisions Regarding the Proposed | I. Other Comments | III. Comments and Revisions Regarding Sec.  1.451-8 | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0039-8391,"Federal Register, Volume 85 Issue 103 (Thursday, May 28, 2020)",12,Background | I. Overview | II. Items Required in Annual Information Returns | III. Gross Receipts Filing Threshold | IV. Clarifying the Treatment of Section 527 Organizations | V. Reporting of Names and Addresses of Contributors | VI. Rev. Proc. 95-48 and Rev. Proc. 96-10 | VII. Technical Corrections | VIII. Applicability Dates | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act
IRS-2019-0041-0008,"Federal Register, Volume 85 Issue 218 (Tuesday, November 10, 2020)",9,Applicability | I. Operational Rules | II. Definitions | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2019-0043-0007,"Federal Register, Volume 85 Issue 184 (Tuesday, September 22, 2020)",4,Background | I. Changes in Connection With Repeal of Section 958(b)(4) | II. Applicability Dates | III. Effect on Other Documents
IRS-2019-0044-0010,"Federal Register, Volume 87 Issue 2 (Tuesday, January 4, 2022)",6,Background | I. Regulatory Planning and Review--Economic Analysis | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism | V. Congressional Review Act
IRS-2019-0044-0012,"Federal Register, Volume 88 Issue 125 (Friday, June 30, 2023)",11,Background | I. Discontinuation of IBORs and Transition to SOFRs | II. Regulatory Background | I. Appropriate Replacement Rate for 30-Day LIBOR | II. Application of the Published Rate Election by the IRS in an | III. Transitional Rule for Taxable Years Including the Date of LIBOR | I. Regulatory Planning and Review--Economic Analysis | II. Regulatory Flexibility Act | III. Section 7805(f) | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2019-0049-0019,"Federal Register, Volume 85 Issue 203 (Tuesday, October 20, 2020)",9,Background | I. Overview | II. Comments on Qualification as an Eligible Terminated S Corporation | III. Comments Regarding the Post-Termination Transition Period | IV. Consideration of Comment Regarding Treatment of ETSC Status and AAA | I. Regulatory Flexibility Act | II. Paperwork Reduction Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism
IRS-2019-0050-0057,"Federal Register, Volume 85 Issue 219 (Thursday, November 12, 2020)",10,Background | I. Section 401(a)(9) and Related Statutory Provisions | II. Regulations Under Section 401(a)(9) | III. Life Expectancy and Distribution Period Tables of Sec. | IV. Executive Order 13847 and Proposed Regulations | I. Overview | II. Comments | III. Updated Life Expectancy and Distribution Period Tables | IV. Effective/Applicability Date | V. Use of Revised Tables to Determine Substantially Equal Periodic
IRS-2019-0054-0011,"Federal Register, Volume 85 Issue 33 (Wednesday, February 19, 2020)",1,Main Content
IRS-2019-0054-0012,"Federal Register, Volume 85 Issue 40 (Friday, February 28, 2020)",1,Main Content
IRS-2019-0054-0015,"Federal Register, Volume 85 Issue 197 (Friday, October 9, 2020)",14,Background | I. Overview | II. Determination of a Taxpayer's Aggregate Group | III. Election To Waive Allowable Deductions | I. Interaction of Waived Deductions With Other Regulations | IV. Application of the BEAT to Partnerships | V. Anti-Abuse Rules of Sec.  1.59A-9 for Basis Step-Up Transactions | VI. Possible Future Guidance Concerning the QDP Reporting Requirements | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
